buf_size,prod_or_cons,pk_config,is_fair,randomization,operation_nou
10000,true,100,false,false,10471
10000,false,100,false,false,12526
10000,true,100,false,false,8548
10000,false,100,false,false,12607
10000,true,100,false,false,12612
10000,false,100,false,false,12611
10000,true,100,false,false,12517
10000,false,100,false,false,9639
10000,true,100,false,false,11351
10000,false,100,false,false,11306
10000,true,100,false,false,12515
10000,false,100,false,false,12611
10000,true,100,false,false,11804
10000,false,100,false,false,12575
10000,true,100,false,false,9230
10000,false,100,false,false,12460
10000,true,100,false,false,12610
10000,false,100,false,false,12610
10000,true,100,false,false,12610
10000,false,100,false,false,12610
10000,true,100,false,false,12610
10000,false,100,false,false,12610
10000,true,100,false,false,12610
10000,false,100,false,false,12610
10000,true,100,false,false,12475
10000,false,100,false,false,12609
10000,true,100,false,false,12469
10000,false,100,false,false,12609
10000,true,100,false,false,9360
10000,false,100,false,false,12609
10000,true,100,false,false,12609
10000,false,100,false,false,12608
10000,true,100,false,false,12609
10000,false,100,false,false,12609
10000,true,100,false,false,12609
10000,false,100,false,false,12608
10000,true,100,false,false,12604
10000,false,100,false,false,12350
10000,true,100,false,false,12607
10000,false,100,false,false,12608
10000,true,100,false,false,12608
10000,false,100,false,false,12429
10000,true,100,false,false,5975
10000,false,100,false,false,12608
10000,true,100,false,false,12608
10000,false,100,false,false,12608
10000,true,100,false,false,12603
10000,false,100,false,false,12607
10000,true,100,false,false,5
10000,false,100,false,false,12607
10000,true,100,false,false,8795
10000,false,100,false,false,12607
10000,true,100,false,false,12541
10000,false,100,false,false,12607
10000,true,100,false,false,12607
10000,false,100,false,false,12607
10000,true,100,false,false,12586
10000,false,100,false,false,12607
10000,true,100,false,false,12569
10000,false,100,false,false,11246
10000,true,100,false,false,12607
10000,false,100,false,false,12548
10000,true,100,false,false,12607
10000,false,100,false,false,12606
10000,true,100,false,false,12606
10000,false,100,false,false,12606
10000,true,100,false,false,12606
10000,false,100,false,false,8568
10000,true,100,false,false,12548
10000,false,100,false,false,12606
10000,true,100,false,false,2139
10000,false,100,false,false,12606
10000,true,100,false,false,12606
10000,false,100,false,false,12399
10000,true,100,false,false,12512
10000,false,100,false,false,12606
10000,true,100,false,false,12606
10000,false,100,false,false,12583
10000,true,100,false,false,12606
10000,false,100,false,false,11340
10000,true,100,false,false,12462
10000,false,100,false,false,12604
10000,true,100,false,false,11320
10000,false,100,false,false,12605
10000,true,100,false,false,5720
10000,false,100,false,false,12605
10000,true,100,false,false,12605
10000,false,100,false,false,12605
10000,true,100,false,false,12605
10000,false,100,false,false,11594
10000,true,100,false,false,12605
10000,false,100,false,false,12605
10000,true,100,false,false,12605
10000,false,100,false,false,12228
10000,true,100,false,false,6311
10000,false,100,false,false,6408
10000,true,100,false,false,12605
10000,false,100,false,false,12605
10000,true,100,false,false,12338
10000,false,100,false,false,12605
10000,true,100,false,false,12605
10000,false,100,false,false,12605
10000,true,100,false,false,12605
10000,false,100,false,false,12604
10000,true,100,false,false,3514
10000,false,100,false,false,2433
10000,true,100,false,false,11890
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,12604
10000,true,100,false,false,12591
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,10970
10000,true,100,false,false,12604
10000,false,100,false,false,12604
10000,true,100,false,false,12505
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,12557
10000,true,100,false,false,11292
10000,false,100,false,false,12577
10000,true,100,false,false,6633
10000,false,100,false,false,12604
10000,true,100,false,false,10707
10000,false,100,false,false,12604
10000,true,100,false,false,12343
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,1267
10000,true,100,false,false,12604
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,12604
10000,true,100,false,false,12604
10000,false,100,false,false,12604
10000,true,100,false,false,12065
10000,false,100,false,false,12603
10000,true,100,false,false,5591
10000,false,100,false,false,12603
10000,true,100,false,false,12603
10000,false,100,false,false,12603
10000,true,100,false,false,12224
10000,false,100,false,false,11705
10000,true,100,false,false,12074
